"panel","x","xlab","track","series","speedup","lo","hi","n","usable","note"
"BAM, short read",20,"20×","20x.shortread.bam","query alone",1.24358974349177,1.23529411816267,1.28787878758802,5,TRUE,""
"BAM, short read",200,"200×","200x.shortread.bam","query alone",1.31724137924183,1.16801619410056,1.34862385309656,5,TRUE,""
"BAM, short read",1000,"1000×","1000x.shortread.bam","query alone",1.30116959062438,1.23510089160554,1.36960690313274,5,TRUE,""
"BAM, long read",20,"20×","20x.longread.bam","query alone",1.48726114642503,0.999999925494195,1.51724137935464,5,TRUE,""
"BAM, long read",200,"200×","200x.longread.bam","query alone",1.40229885060917,0.952380951705163,1.71678599842501,5,TRUE,""
"BAM, long read",1000,"1000×","1000x.longread.bam","query alone",NA,NA,NA,0,FALSE,"did not fit in the renderer heap"
"Tabix VCF, full genotypes",100,"100","variants.pool.100.wide.vcf.gz","query alone",1.12727272781459,1.12244897822647,1.13207547233469,5,TRUE,""
"Tabix VCF, full genotypes",1000,"1,000","variants.pool.1000.wide.vcf.gz","query alone",1.25872093014441,1.19942196552454,1.29032258064516,5,TRUE,""
"Tabix VCF, full genotypes",3000,"3,000","variants.pool.3000.wide.vcf.gz","query alone",1.24307692310749,1.2299898682355,1.28693790144871,5,TRUE,""
"Tabix VCF, genotypes only",100,"100","variants.pool.100.gtonly.vcf.gz","query alone",0.954545453775766,0.913043480091825,0.95833333579099,5,TRUE,""
"Tabix VCF, genotypes only",1000,"1,000","variants.pool.1000.gtonly.vcf.gz","query alone",1.07843137223392,1.0689655170199,1.12962962883756,5,TRUE,""
"Tabix VCF, genotypes only",3000,"3,000","variants.pool.3000.gtonly.vcf.gz","query alone",1.07086614101166,1.02654867296898,1.11570247920144,5,TRUE,""
