"method","units","unit_name","window","band","cells","output_mib","gpu_ms","declined","cpu_ms","cpu_measured","max_abs_diff","cpu_ns_per_cell","num_snps","num_samples","adapter","max_storage_binding"
"phased",5008,"haplotypes","200",200,9979900,38.1,521,FALSE,11365,TRUE,8.67294147610664e-09,1165.83263833456,50000,2504,"amd rdna-1",2147483644
"phased",5008,"haplotypes","500",500,24874750,94.9,1622,FALSE,30852,TRUE,9.31322574615479e-09,1165.83263833456,50000,2504,"amd rdna-1",2147483644
"phased",5008,"haplotypes","1000",1000,49499500,188.8,3347,FALSE,70658,TRUE,3.57627868652344e-07,1165.83263833456,50000,2504,"amd rdna-1",2147483644
"phased",5008,"haplotypes","2000",2000,97999000,373.8,9161,FALSE,127461,TRUE,3.57627868652344e-07,1165.83263833456,50000,2504,"amd rdna-1",2147483644
"phased",5008,"haplotypes","full triangle",49999,1249975000,4768.3,NA,TRUE,1625762,FALSE,NA,1165.83263833456,50000,2504,"amd rdna-1",2147483644
"composite",2504,"genotypes","200",200,9979900,38.1,391,FALSE,12330,TRUE,2.79396772384644e-08,1178.48206836547,50000,2504,"amd rdna-1",2147483644
"composite",2504,"genotypes","500",500,24874750,94.9,1069,FALSE,28406,TRUE,2.79396772384644e-08,1178.48206836547,50000,2504,"amd rdna-1",2147483644
"composite",2504,"genotypes","1000",1000,49499500,188.8,2432,FALSE,56754,TRUE,5.96046447753906e-07,1178.48206836547,50000,2504,"amd rdna-1",2147483644
"composite",2504,"genotypes","2000",2000,97999000,373.8,4978,FALSE,113836,TRUE,5.96046447753906e-07,1178.48206836547,50000,2504,"amd rdna-1",2147483644
"composite",2504,"genotypes","full triangle",49999,1249975000,4768.3,NA,TRUE,1451976,FALSE,NA,1178.48206836547,50000,2504,"amd rdna-1",2147483644
