"panel","case","series","ms","usable","session","format","window","censored","metric","lo","hi"
"Zoom in, within loaded data","20x short read","This work",163,TRUE,"interaction","BAM",NA,FALSE,NA,NA,NA
"Zoom in, within loaded data","20x short read","Release 4.3.0",1066,TRUE,"interaction","BAM",NA,FALSE,NA,NA,NA
"Zoom in, within loaded data","20x short read","Release 2.4.0",567,TRUE,"interaction","BAM",NA,FALSE,NA,NA,NA
"Pan, both refetch","20x short read","This work",175,TRUE,"interaction","BAM",NA,FALSE,NA,NA,NA
"Pan, both refetch","20x short read","Release 4.3.0",1133,TRUE,"interaction","BAM",NA,FALSE,NA,NA,NA
"Pan, both refetch","20x short read","Release 2.4.0",445,TRUE,"interaction","BAM",NA,FALSE,NA,NA,NA
"Zoom in, within loaded data","200x short read","This work",146,TRUE,"interaction","BAM",NA,FALSE,NA,NA,NA
"Zoom in, within loaded data","200x short read","Release 4.3.0",1110,TRUE,"interaction","BAM",NA,FALSE,NA,NA,NA
"Zoom in, within loaded data","200x short read","Release 2.4.0",640,TRUE,"interaction","BAM",NA,FALSE,NA,NA,NA
"Pan, both refetch","200x short read","This work",815,TRUE,"interaction","BAM",NA,FALSE,NA,NA,NA
"Pan, both refetch","200x short read","Release 4.3.0",1252,TRUE,"interaction","BAM",NA,FALSE,NA,NA,NA
"Pan, both refetch","200x short read","Release 2.4.0",1917,TRUE,"interaction","BAM",NA,FALSE,NA,NA,NA
"Zoom in, within loaded data","1000x short read","This work",167,TRUE,"interaction","BAM",NA,FALSE,NA,NA,NA
"Zoom in, within loaded data","1000x short read","Release 4.3.0",1555,TRUE,"interaction","BAM",NA,FALSE,NA,NA,NA
"Zoom in, within loaded data","1000x short read","Release 2.4.0",707,TRUE,"interaction","BAM",NA,FALSE,NA,NA,NA
"Pan, both refetch","1000x short read","This work",1181,TRUE,"interaction","BAM",NA,FALSE,NA,NA,NA
"Pan, both refetch","1000x short read","Release 4.3.0",4049,TRUE,"interaction","BAM",NA,FALSE,NA,NA,NA
"Pan, both refetch","1000x short read","Release 2.4.0",10500,TRUE,"interaction","BAM",NA,FALSE,NA,NA,NA
"Zoom in, within loaded data","20x long read","This work",171,TRUE,"interaction","BAM",NA,FALSE,NA,NA,NA
"Zoom in, within loaded data","20x long read","Release 4.3.0",1171,TRUE,"interaction","BAM",NA,FALSE,NA,NA,NA
"Zoom in, within loaded data","20x long read","Release 2.4.0",694,TRUE,"interaction","BAM",NA,FALSE,NA,NA,NA
"Pan, both refetch","20x long read","This work",199,TRUE,"interaction","BAM",NA,FALSE,NA,NA,NA
"Pan, both refetch","20x long read","Release 4.3.0",1223,TRUE,"interaction","BAM",NA,FALSE,NA,NA,NA
"Pan, both refetch","20x long read","Release 2.4.0",195,TRUE,"interaction","BAM",NA,FALSE,NA,NA,NA
"Zoom in, within loaded data","200x long read","This work",166,TRUE,"interaction","BAM",NA,FALSE,NA,NA,NA
"Zoom in, within loaded data","200x long read","Release 4.3.0",2874,TRUE,"interaction","BAM",NA,FALSE,NA,NA,NA
"Zoom in, within loaded data","200x long read","Release 2.4.0",2235,TRUE,"interaction","BAM",NA,FALSE,NA,NA,NA
"Pan, both refetch","200x long read","This work",871,TRUE,"interaction","BAM",NA,FALSE,NA,NA,NA
"Pan, both refetch","200x long read","Release 4.3.0",2696,TRUE,"interaction","BAM",NA,FALSE,NA,NA,NA
"Pan, both refetch","200x long read","Release 2.4.0",4062,TRUE,"interaction","BAM",NA,FALSE,NA,NA,NA
"Zoom in, within loaded data","1000x long read","This work",168,TRUE,"interaction","BAM",NA,FALSE,NA,NA,NA
"Zoom in, within loaded data","1000x long read","Release 4.3.0",11697,TRUE,"interaction","BAM",NA,FALSE,NA,NA,NA
"Zoom in, within loaded data","1000x long read","Release 2.4.0",6818,TRUE,"interaction","BAM",NA,FALSE,NA,NA,NA
"Pan, both refetch","1000x long read","This work",1578,TRUE,"interaction","BAM",NA,FALSE,NA,NA,NA
"Pan, both refetch","1000x long read","Release 4.3.0",11101,TRUE,"interaction","BAM",NA,FALSE,NA,NA,NA
"Pan, both refetch","1000x long read","Release 2.4.0",22079,TRUE,"interaction","BAM",NA,FALSE,NA,NA,NA
"Cold load","20x short read","This work",1122,TRUE,"version sweep","BAM",NA,FALSE,NA,1094,1233
"Cold load","20x short read","Release 4.3.0",2297,TRUE,"version sweep","BAM",NA,FALSE,NA,2260,2332
"Cold load","20x short read","Release 2.4.0",2234,TRUE,"version sweep","BAM",NA,FALSE,NA,2218,2254
"Cold load","200x short read","This work",1322,TRUE,"version sweep","BAM",NA,FALSE,NA,1283,1416
"Cold load","200x short read","Release 4.3.0",2758.5,TRUE,"version sweep","BAM",NA,FALSE,NA,2698,2828
"Cold load","200x short read","Release 2.4.0",4082,TRUE,"version sweep","BAM",NA,FALSE,NA,3917,4150
"Cold load","1000x short read","This work",2212.5,TRUE,"version sweep","BAM",NA,FALSE,NA,2190,2314
"Cold load","1000x short read","Release 4.3.0",4684.5,TRUE,"version sweep","BAM",NA,FALSE,NA,4555,4819
"Cold load","1000x short read","Release 2.4.0",7538,TRUE,"version sweep","BAM",NA,FALSE,NA,7274,7883
"Cold load","20x long read","This work",1217,TRUE,"version sweep","BAM",NA,FALSE,NA,1198,1229
"Cold load","20x long read","Release 4.3.0",2569.5,TRUE,"version sweep","BAM",NA,FALSE,NA,2469,2604
"Cold load","20x long read","Release 2.4.0",2949,TRUE,"version sweep","BAM",NA,FALSE,NA,2912,3041
"Cold load","200x long read","This work",1741.5,TRUE,"version sweep","BAM",NA,FALSE,NA,1714,1826
"Cold load","200x long read","Release 4.3.0",5886.5,TRUE,"version sweep","BAM",NA,FALSE,NA,5737,6104
"Cold load","200x long read","Release 2.4.0",7241.5,TRUE,"version sweep","BAM",NA,FALSE,NA,7226,7319
"Cold load","1000x long read","This work",4098.5,TRUE,"version sweep","BAM",NA,FALSE,NA,4006,4217
"Cold load","1000x long read","Release 4.3.0",20571.5,TRUE,"version sweep","BAM",NA,FALSE,NA,17360,21008
"Cold load","1000x long read","Release 2.4.0",21980.5,TRUE,"version sweep","BAM",NA,FALSE,NA,21259,22252
