encoding,mb,px
coarsened,0.0135,0.4411
coarsened,0.0405,0.3404
coarsened,0.0674,0.1786
coarsened,0.0944,0.4572
coarsened,0.1214,0.3598
coarsened,0.1483,0.2577
coarsened,0.1753,0.2807
coarsened,0.2023,0.1521
coarsened,0.2292,-0.1476
coarsened,0.2562,0.4400
coarsened,0.2832,0.4532
coarsened,0.3101,0.2961
coarsened,0.3371,-0.2402
coarsened,0.3641,0.3166
coarsened,0.3910,0.1833
coarsened,0.4180,0.4119
coarsened,0.4450,0.5348
coarsened,0.4720,-0.2109
coarsened,0.4989,0.3272
coarsened,0.5259,0.0725
coarsened,0.5529,0.2311
coarsened,0.5798,0.2198
coarsened,0.6068,-0.2557
coarsened,0.6338,-0.0009
coarsened,0.6607,0.2137
coarsened,0.6877,-0.0619
coarsened,0.7147,-0.3171
coarsened,0.7416,-0.2444
coarsened,0.7686,0.3595
coarsened,0.7956,-0.3576
coarsened,0.8226,-0.3222
coarsened,0.8495,0.1438
coarsened,0.8765,-0.1113
coarsened,0.9035,0.1916
coarsened,0.9304,0.1578
coarsened,0.9574,0.1915
coarsened,0.9844,0.3079
coarsened,1.0113,0.1258
coarsened,1.0383,-0.2400
coarsened,1.0653,-0.1604
coarsened,1.0922,-0.3162
coarsened,1.1192,-0.1938
coarsened,1.1462,-0.4469
coarsened,1.1731,-0.2211
coarsened,1.2001,0.1862
coarsened,1.2271,0.2934
coarsened,1.2541,0.1672
coarsened,1.2810,0.1466
coarsened,1.3080,0.3489
coarsened,1.3350,-0.1568
coarsened,1.3619,0.2937
coarsened,1.3889,0.2406
coarsened,1.4159,0.2641
coarsened,1.4428,0.4400
coarsened,1.4698,0.3240
coarsened,1.4968,-0.4077
coarsened,1.5237,0.4914
coarsened,1.5507,-0.3613
coarsened,1.5777,0.3701
coarsened,1.6047,0.4580
coarsened,1.6316,0.4039
coarsened,1.6586,0.2344
coarsened,1.6856,0.3092
coarsened,1.7125,0.3915
coarsened,1.7395,0.3982
coarsened,1.7665,0.2295
coarsened,1.7934,-0.3424
coarsened,1.8204,0.2626
coarsened,1.8474,-0.3542
coarsened,1.8743,-0.2638
coarsened,1.9013,0.1391
coarsened,1.9283,0.2922
coarsened,1.9552,0.4380
coarsened,1.9822,0.2841
coarsened,2.0092,0.2857
coarsened,2.0362,0.3734
coarsened,2.0631,0.2526
coarsened,2.0901,-0.2611
coarsened,2.1171,-0.1881
coarsened,2.1440,0.3913
coarsened,2.1710,0.3665
coarsened,2.1980,0.4582
coarsened,2.2249,0.1799
coarsened,2.2519,0.2789
coarsened,2.2789,0.3115
coarsened,2.3058,0.4299
coarsened,2.3328,-0.3794
coarsened,2.3598,0.6195
coarsened,2.3867,-0.2528
coarsened,2.4137,-0.2635
coarsened,2.4407,0.2554
coarsened,2.4677,-0.1971
coarsened,2.4946,0.3555
coarsened,2.5216,-0.3538
coarsened,2.5486,-0.3130
coarsened,2.5755,-0.3332
coarsened,2.6025,0.5381
coarsened,2.6295,0.0874
coarsened,2.6564,-0.2057
coarsened,2.6834,0.1170
coarsened,2.7104,-0.3383
coarsened,2.7373,0.1862
coarsened,2.7643,-0.1939
coarsened,2.7913,-0.2125
coarsened,2.8183,0.0000
coarsened,2.8452,0.0000
coarsened,2.8722,0.0000
coarsened,2.8992,0.0000
coarsened,2.9261,0.0000
coarsened,2.9531,0.0000
coarsened,2.9801,0.0000
coarsened,3.0070,0.0000
coarsened,3.0340,0.0000
coarsened,3.0610,0.0000
coarsened,3.0879,0.0000
coarsened,3.1149,0.0000
coarsened,3.1419,0.0000
coarsened,3.1688,0.0000
coarsened,3.1958,0.0000
coarsened,3.2228,0.0000
coarsened,3.2498,0.0000
coarsened,3.2767,0.0000
coarsened,3.3037,0.0000
coarsened,3.3307,0.0000
coarsened,3.3576,0.0000
coarsened,3.3846,0.0000
coarsened,3.4116,0.0000
coarsened,3.4385,0.0000
coarsened,3.4655,0.0000
coarsened,3.4925,0.0000
coarsened,3.5194,0.0000
coarsened,3.5464,0.0000
coarsened,3.5734,0.0000
coarsened,3.6004,0.0000
coarsened,3.6273,0.0000
coarsened,3.6543,0.0000
coarsened,3.6813,0.0000
coarsened,3.7082,0.0000
coarsened,3.7352,0.0000
coarsened,3.7622,0.0000
coarsened,3.7891,0.0000
coarsened,3.8161,0.0000
coarsened,3.8431,0.0000
coarsened,3.8700,0.0000
coarsened,3.8970,0.0000
coarsened,3.9240,0.0000
coarsened,3.9509,0.0000
coarsened,3.9779,0.0000
coarsened,4.0049,0.0000
coarsened,4.0319,0.0000
coarsened,4.0588,0.0000
coarsened,4.0858,0.0000
coarsened,4.1128,0.0000
coarsened,4.1397,0.0000
coarsened,4.1667,0.0000
coarsened,4.1937,0.0000
coarsened,4.2206,0.0000
coarsened,4.2476,0.0000
coarsened,4.2746,0.0000
coarsened,4.3015,0.0000
coarsened,4.3285,0.0000
coarsened,4.3555,0.0000
coarsened,4.3824,0.0000
coarsened,4.4094,0.0000
coarsened,4.4364,0.0000
coarsened,4.4634,0.0000
coarsened,4.4903,0.0000
coarsened,4.5173,0.0000
coarsened,4.5443,0.0000
coarsened,4.5712,0.0000
coarsened,4.5982,0.0000
coarsened,4.6252,0.0000
coarsened,4.6521,0.0000
coarsened,4.6791,0.0000
coarsened,4.7061,0.0000
coarsened,4.7330,0.0000
coarsened,4.7600,0.0000
coarsened,4.7870,0.0000
coarsened,4.8140,0.0000
coarsened,4.8409,0.0000
coarsened,4.8679,0.0000
coarsened,4.8949,0.0000
coarsened,4.9218,0.0000
coarsened,4.9488,0.0000
coarsened,4.9758,0.0000
coarsened,5.0027,0.0000
coarsened,5.0297,0.0000
coarsened,5.0567,0.0000
coarsened,5.0836,0.0000
coarsened,5.1106,0.0000
coarsened,5.1376,0.0000
coarsened,5.1645,0.0000
coarsened,5.1915,0.0000
coarsened,5.2185,0.0000
coarsened,5.2455,0.0000
coarsened,5.2724,0.0000
coarsened,5.2994,0.0000
coarsened,5.3264,0.0000
coarsened,5.3533,0.0000
coarsened,5.3803,0.0000
coarsened,5.4073,0.0000
coarsened,5.4342,0.0000
coarsened,5.4612,0.0000
coarsened,5.4882,0.0000
coarsened,5.5151,0.0000
coarsened,5.5421,0.0000
coarsened,5.5691,0.0000
coarsened,5.5960,0.0000
coarsened,5.6230,0.0000
coarsened,5.6500,0.0000
coarsened,5.6770,0.0000
coarsened,5.7039,0.0000
coarsened,5.7309,0.0000
coarsened,5.7579,0.0000
coarsened,5.7848,0.0000
coarsened,5.8118,0.0000
coarsened,5.8388,0.0000
coarsened,5.8657,0.0000
coarsened,5.8927,0.0000
coarsened,5.9197,0.0000
coarsened,5.9466,0.0000
coarsened,5.9736,0.0000
coarsened,6.0006,0.0000
coarsened,6.0276,0.0000
coarsened,6.0545,0.0000
coarsened,6.0815,0.0000
coarsened,6.1085,0.0000
coarsened,6.1354,0.0000
coarsened,6.1624,0.0000
coarsened,6.1894,0.0000
coarsened,6.2163,0.0000
coarsened,6.2433,0.0000
coarsened,6.2703,0.0000
coarsened,6.2972,0.0000
coarsened,6.3242,0.0000
coarsened,6.3512,0.0000
coarsened,6.3781,0.0000
coarsened,6.4051,0.0000
coarsened,6.4321,0.0000
coarsened,6.4591,0.0000
coarsened,6.4860,0.0000
coarsened,6.5130,0.0000
coarsened,6.5400,0.0000
coarsened,6.5669,0.0000
coarsened,6.5939,0.0000
coarsened,6.6209,0.0000
coarsened,6.6478,0.0000
coarsened,6.6748,0.0000
coarsened,6.7018,0.0000
coarsened,6.7287,0.0000
coarsened,6.7557,0.0000
coarsened,6.7827,0.0000
coarsened,6.8097,0.0000
coarsened,6.8366,0.0000
coarsened,6.8636,0.0000
coarsened,6.8906,0.0000
coarsened,6.9175,0.0000
coarsened,6.9445,0.0000
coarsened,6.9715,0.0000
coarsened,6.9984,0.0000
coarsened,7.0254,0.0000
coarsened,7.0524,0.0000
coarsened,7.0793,0.0000
coarsened,7.1063,0.0000
coarsened,7.1333,0.0000
coarsened,7.1602,0.0000
coarsened,7.1872,0.0000
coarsened,7.2142,0.0000
coarsened,7.2412,0.0000
coarsened,7.2681,0.0000
coarsened,7.2951,0.0000
coarsened,7.3221,0.0000
coarsened,7.3490,0.0000
coarsened,7.3760,0.0000
coarsened,7.4030,0.0000
coarsened,7.4299,0.0000
coarsened,7.4569,0.0000
coarsened,7.4839,0.0000
coarsened,7.5108,0.0000
coarsened,7.5378,0.0000
coarsened,7.5648,0.0000
coarsened,7.5917,0.0000
coarsened,7.6187,0.0000
coarsened,7.6457,0.0000
coarsened,7.6727,0.0000
coarsened,7.6996,0.0000
coarsened,7.7266,-0.3241
coarsened,7.7536,0.1335
coarsened,7.7805,0.4414
coarsened,7.8075,-0.2342
coarsened,7.8345,0.4710
coarsened,7.8614,-0.4266
coarsened,7.8884,0.2105
coarsened,7.9154,0.0000
coarsened,7.9423,-0.3676
coarsened,7.9693,-0.3279
coarsened,7.9963,-0.2722
coarsened,8.0233,-0.1557
coarsened,8.0502,-0.3403
coarsened,8.0772,-0.3548
coarsened,8.1042,-0.1449
coarsened,8.1311,-0.4666
coarsened,8.1581,0.2792
coarsened,8.1851,0.3756
coarsened,8.2120,0.2758
coarsened,8.2390,-0.1584
coarsened,8.2660,0.4321
coarsened,8.2929,0.2603
coarsened,8.3199,-0.4637
coarsened,8.3469,-0.4260
coarsened,8.3738,0.2263
coarsened,8.4008,0.4883
coarsened,8.4278,0.6141
coarsened,8.4548,0.2576
coarsened,8.4817,-0.1535
coarsened,8.5087,0.3954
coarsened,8.5357,0.1883
coarsened,8.5626,-0.3625
coarsened,8.5896,0.1943
coarsened,8.6166,0.4502
coarsened,8.6435,0.3552
coarsened,8.6705,-0.4108
coarsened,8.6975,0.2709
coarsened,8.7244,-0.3363
coarsened,8.7514,0.3875
coarsened,8.7784,0.3394
coarsened,8.8054,-0.4016
coarsened,8.8323,-0.2236
coarsened,8.8593,0.4444
coarsened,8.8863,0.3578
coarsened,8.9132,0.4951
coarsened,8.9402,-0.1501
coarsened,8.9672,0.4091
coarsened,8.9941,-0.3371
coarsened,9.0211,0.2909
coarsened,9.0481,0.2567
coarsened,9.0750,0.3874
coarsened,9.1020,-0.2790
coarsened,9.1290,-0.4143
coarsened,9.1559,0.1947
coarsened,9.1829,-0.5188
coarsened,9.2099,0.2609
coarsened,9.2369,-0.0627
coarsened,9.2638,-0.2258
coarsened,9.2908,-0.2760
coarsened,9.3178,-0.1642
coarsened,9.3447,0.2611
coarsened,9.3717,0.1965
coarsened,9.3987,0.1174
coarsened,9.4256,-0.2954
coarsened,9.4526,0.3238
coarsened,9.4796,0.4022
coarsened,9.5065,0.0486
coarsened,9.5335,0.0904
coarsened,9.5605,0.2862
coarsened,9.5874,-0.3190
coarsened,9.6144,0.2286
coarsened,9.6414,0.2907
coarsened,9.6684,-0.3146
coarsened,9.6953,0.1541
coarsened,9.7223,0.3951
coarsened,9.7493,0.0000
coarsened,9.7762,-0.4721
coarsened,9.8032,0.1927
coarsened,9.8302,-0.3993
coarsened,9.8571,-0.3781
coarsened,9.8841,-0.4160
coarsened,9.9111,0.5199
coarsened,9.9380,0.5098
coarsened,9.9650,0.4941
coarsened,9.9920,-0.1802
